uf,cidade,qtd_pop
MU,Porto Franco (MA),23885
MU,Porto Rico do Maranhão (MA),5975
MU,Presidente Dutra (MA),47804
MU,Presidente Juscelino (MA),12734
MU,Presidente Médici (MA),7015
MU,Presidente Sarney (MA),18918
MU,Presidente Vargas (MA),11193
MU,Primeira Cruz (MA),15315
MU,Raposa (MA),30761
MU,Riachão (MA),20195
MU,Ribamar Fiquene (MA),7791
MU,Rosário (MA),42740
MU,Sambaíba (MA),5671
MU,Santa Filomena do Maranhão (MA),7773
MU,Santa Helena (MA),42130
MU,Santa Inês (MA),89044
MU,Santa Luzia (MA),72667
MU,Santa Luzia do Paruá (MA),25254
MU,Santa Quitéria do Maranhão (MA),25642
MU,Santa Rita (MA),37855
MU,Santana do Maranhão (MA),13386
MU,Santo Amaro do Maranhão (MA),15846
MU,Santo Antônio dos Lopes (MA),14528
MU,São Benedito do Rio Preto (MA),18663
MU,São Bento (MA),45211
MU,São Bernardo (MA),28507
MU,São Domingos do Azeitão (MA),7392
MU,São Domingos do Maranhão (MA),34376
MU,São Félix de Balsas (MA),4585
MU,São Francisco do Brejão (MA),11798
MU,São Francisco do Maranhão (MA),12210
MU,São João Batista (MA),20665
MU,São João do Carú (MA),15808
MU,São João do Paraíso (MA),11177
MU,São João do Soter (MA),18543
MU,São João dos Patos (MA),25929
MU,São José de Ribamar (MA),177687
MU,São José dos Basílios (MA),7641
MU,São Luís (MA),1101884
MU,São Luís Gonzaga do Maranhão (MA),18856
MU,São Mateus do Maranhão (MA),41529
MU,São Pedro da Água Branca (MA),12690
MU,São Pedro dos Crentes (MA),4668
MU,São Raimundo das Mangabeiras (MA),18868
MU,São Raimundo do Doca Bezerra (MA),5237
MU,São Roberto (MA),6719
MU,São Vicente Ferrer (MA),22247
MU,Satubinha (MA),13914
MU,Senador Alexandre Costa (MA),11141
MU,Senador La Rocque (MA),14293
MU,Serrano do Maranhão (MA),10253
MU,Sítio Novo (MA),18081
MU,Sucupira do Norte (MA),10636
MU,Sucupira do Riachão (MA),5660
MU,Tasso Fragoso (MA),8521
MU,Timbiras (MA),29124
MU,Timon (MA),169107
MU,Trizidela do Vale (MA),21998
MU,Tufilândia (MA),5840
MU,Tuntum (MA),41832
MU,Turiaçu (MA),35604
MU,Turilândia (MA),25619
MU,Tutóia (MA),58860
MU,Urbano Santos (MA),33122
MU,Vargem Grande (MA),56510
MU,Viana (MA),52441
MU,Vila Nova dos Martírios (MA),13392
MU,Vitória do Mearim (MA),32764
MU,Vitorino Freire (MA),31523
MU,Zé Doca (MA),51714
MU,Acauã (PI),7084
MU,Agricolândia (PI),5139
MU,Água Branca (PI),17411
MU,Alagoinha do Piauí (PI),7651
MU,Alegrete do Piauí (PI),4915
MU,Alto Longá (PI),14304
MU,Altos (PI),40524
MU,Alvorada do Gurguéia (PI),5419
MU,Amarante (PI),17598
MU,Angical do Piauí (PI),6788
MU,Anísio de Abreu (PI),9880
MU,Antônio Almeida (PI),3164
MU,Aroazes (PI),5835
MU,Aroeiras do Itaim (PI),2551
MU,Arraial (PI),4727
MU,Assunção do Piauí (PI),7846
MU,Avelino Lopes (PI),11289
MU,Baixa Grande do Ribeiro (PI),11586
MU,Barra D'Alcântara (PI),3951
MU,Barras (PI),47066
MU,Barreiras do Piauí (PI),3348
MU,Barro Duro (PI),7032
MU,Batalha (PI),26857
MU,Bela Vista do Piauí (PI),4015
MU,Belém do Piauí (PI),3566
MU,Beneditinos (PI),10467
MU,Bertolínia (PI),5501
MU,Betânia do Piauí (PI),6205
MU,Boa Hora (PI),6781
MU,Bocaina (PI),4500
MU,Bom Jesus (PI),25179
MU,Bom Princípio do Piauí (PI),5630
MU,Bonfim do Piauí (PI),5670
MU,Boqueirão do Piauí (PI),6407
MU,Brasileira (PI),8329
MU,Brejo do Piauí (PI),3875
MU,Buriti dos Lopes (PI),19781
MU,Buriti dos Montes (PI),8244
MU,Cabeceiras do Piauí (PI),10586
MU,Cajazeiras do Piauí (PI),3559
MU,Cajueiro da Praia (PI),7642
MU,Caldeirão Grande do Piauí (PI),5776
MU,Campinas do Piauí (PI),5613
MU,Campo Alegre do Fidalgo (PI),5045
MU,Campo Grande do Piauí (PI),5943
MU,Campo Largo do Piauí (PI),7279
MU,Campo Maior (PI),46833
MU,Canavieira (PI),3950
MU,Canto do Buriti (PI),21187
MU,Capitão de Campos (PI),11417
MU,Capitão Gervásio Oliveira (PI),4100
MU,Caracol (PI),10916
MU,Caraúbas do Piauí (PI),5868
MU,Caridade do Piauí (PI),5067
MU,Castelo do Piauí (PI),19716
MU,Caxingó (PI),5424
MU,Cocal (PI),27787
MU,Cocal de Telha (PI),4891
MU,Cocal dos Alves (PI),6153
MU,Coivaras (PI),4020
MU,Colônia do Gurguéia (PI),6484
MU,Colônia do Piauí (PI),7656
MU,Conceição do Canindé (PI),4803
MU,Coronel José Dias (PI),4682
MU,Corrente (PI),26644
MU,Cristalândia do Piauí (PI),8294
MU,Cristino Castro (PI),10423
MU,Curimatá (PI),11388
MU,Currais (PI),4954
MU,Curralinhos (PI),4443
MU,Curral Novo do Piauí (PI),5343
MU,Demerval Lobão (PI),13817
MU,Dirceu Arcoverde (PI),7011
MU,Dom Expedito Lopes (PI),6904
MU,Domingos Mourão (PI),4355
MU,Dom Inocêncio (PI),9556
MU,Elesbão Veloso (PI),14602
MU,Eliseu Martins (PI),4915
MU,Esperantina (PI),39737
MU,Fartura do Piauí (PI),5307
MU,Flores do Piauí (PI),4463
MU,Floresta do Piauí (PI),2558
MU,Floriano (PI),59935
MU,Francinópolis (PI),5348
MU,Francisco Ayres (PI),4348
MU,Francisco Macedo (PI),3184
MU,Francisco Santos (PI),9319
